Program Studi,Semester Saat Ini,Jenis Kelamin,Kepuasan Perpustakaan,Kepuasan Kebersihan,Kepuasan Laboratorium,Kepuasan Ruang Kelas,Kepuasan Sarana Ibadah
Farmasi,7,Laki-laki,Sangat Puas,Cukup Puas,Sangat Tidak Puas,Cukup Puas,Sangat Tidak Puas
Ilmu Komunikasi,3,Perempuan,Sangat Tidak Puas,Sangat Puas,Tidak Puas,Sangat Tidak Puas,Sangat Puas
Keperawatan,1,Laki-laki,Sangat Tidak Puas,Cukup Puas,Sangat Tidak Puas,Puas,Sangat Tidak Puas
Administrasi Bisnis,3,Laki-laki,Sangat Puas,Sangat Puas,Tidak Puas,Sangat Tidak Puas,Tidak Puas
Hukum,1,Laki-laki,Tidak Puas,Sangat Tidak Puas,Tidak Puas,Puas,Sangat Puas
Ilmu Komunikasi,5,Laki-laki,Sangat Puas,Cukup Puas,Puas,Puas,Puas
Sistem Informasi,3,Perempuan,Cukup Puas,Cukup Puas,Puas,Sangat Tidak Puas,Sangat Puas
Psikologi,2,Perempuan,Puas,Puas,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas
Teknik Informatika,2,Laki-laki,Sangat Puas,Sangat Puas,Sangat Puas,Sangat Puas,Sangat Tidak Puas
Teknik Elektro,7,Laki-laki,Puas,Sangat Tidak Puas,Cukup Puas,Sangat Tidak Puas,Sangat Puas
Kesehatan Masyarakat,6,Laki-laki,Cukup Puas,Cukup Puas,Cukup Puas,Cukup Puas,Sangat Puas
Psikologi,5,Perempuan,Puas,Tidak Puas,Sangat Tidak Puas,Sangat Puas,Sangat Tidak Puas
Akuntansi,3,Laki-laki,Sangat Tidak Puas,Tidak Puas,Puas,Tidak Puas,Tidak Puas
Psikologi,6,Perempuan,Tidak Puas,Puas,Cukup Puas,Sangat Puas,Sangat Tidak Puas
Keperawatan,7,Laki-laki,Sangat Tidak Puas,Puas,Sangat Puas,Sangat Puas,Sangat Puas
Sistem Informasi,7,Laki-laki,Sangat Tidak Puas,Puas,Sangat Tidak Puas,Sangat Tidak Puas,Tidak Puas
Teknik Industri,2,Perempuan,Sangat Tidak Puas,Cukup Puas,Tidak Puas,Sangat Puas,Tidak Puas
Kesehatan Masyarakat,2,Laki-laki,Sangat Tidak Puas,Cukup Puas,Tidak Puas,Puas,Sangat Puas
Arsitektur,2,Laki-laki,Puas,Puas,Cukup Puas,Puas,Puas
Ilmu Komunikasi,3,Laki-laki,Sangat Tidak Puas,Puas,Sangat Tidak Puas,Tidak Puas,Sangat Puas
Farmasi,1,Perempuan,Puas,Cukup Puas,Tidak Puas,Sangat Puas,Cukup Puas
Ilmu Komunikasi,5,Laki-laki,Sangat Tidak Puas,Cukup Puas,Puas,Puas,Tidak Puas
Psikologi,8,Perempuan,Puas,Sangat Puas,Puas,Sangat Tidak Puas,Sangat Tidak Puas
Teknik Elektro,5,Perempuan,Puas,Sangat Puas,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas
Kimia,4,Perempuan,Sangat Puas,Sangat Tidak Puas,Tidak Puas,Puas,Sangat Tidak Puas
Keperawatan,5,Perempuan,Sangat Puas,Cukup Puas,Cukup Puas,Cukup Puas,Tidak Puas
Kesehatan Masyarakat,8,Perempuan,Sangat Puas,Puas,Tidak Puas,Puas,Sangat Tidak Puas
Sistem Informasi,1,Laki-laki,Tidak Puas,Tidak Puas,Sangat Tidak Puas,Tidak Puas,Cukup Puas
Arsitektur,8,Laki-laki,Puas,Cukup Puas,Puas,Tidak Puas,Cukup Puas
Administrasi Bisnis,7,Perempuan,Tidak Puas,Sangat Puas,Cukup Puas,Sangat Puas,Sangat Tidak Puas
Sistem Informasi,1,Laki-laki,Puas,Sangat Puas,Sangat Puas,Puas,Cukup Puas
Teknik Sipil,3,Laki-laki,Sangat Puas,Sangat Tidak Puas,Sangat Tidak Puas,Tidak Puas,Sangat Puas
Farmasi,8,Laki-laki,Cukup Puas,Sangat Tidak Puas,Cukup Puas,Sangat Tidak Puas,Tidak Puas
Kimia,2,Laki-laki,Tidak Puas,Puas,Tidak Puas,Sangat Puas,Sangat Puas
Kimia,4,Perempuan,Tidak Puas,Cukup Puas,Cukup Puas,Sangat Tidak Puas,Tidak Puas
Administrasi Publik,7,Perempuan,Cukup Puas,Cukup Puas,Sangat Puas,Cukup Puas,Sangat Puas
Teknik Industri,2,Perempuan,Sangat Tidak Puas,Sangat Tidak Puas,Cukup Puas,Sangat Puas,Sangat Puas
Teknik Mesin,4,Laki-laki,Sangat Tidak Puas,Cukup Puas,Sangat Puas,Sangat Puas,Puas
Teknik Industri,3,Laki-laki,Sangat Tidak Puas,Tidak Puas,Puas,Cukup Puas,Cukup Puas
Kimia,3,Laki-laki,Sangat Puas,Sangat Puas,Sangat Puas,Puas,Sangat Puas
Arsitektur,3,Perempuan,Sangat Puas,Puas,Puas,Sangat Puas,Puas
Administrasi Publik,1,Laki-laki,Cukup Puas,Tidak Puas,Cukup Puas,Puas,Tidak Puas
Administrasi Publik,6,Laki-laki,Tidak Puas,Tidak Puas,Sangat Tidak Puas,Puas,Tidak Puas
Psikologi,3,Laki-laki,Sangat Puas,Cukup Puas,Puas,Tidak Puas,Puas
Sistem Informasi,6,Perempuan,Sangat Puas,Cukup Puas,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Puas
Keperawatan,2,Perempuan,Cukup Puas,Sangat Tidak Puas,Tidak Puas,Tidak Puas,Sangat Puas
Administrasi Bisnis,3,Laki-laki,Puas,Sangat Puas,Sangat Puas,Tidak Puas,Puas
Arsitektur,5,Laki-laki,Sangat Puas,Sangat Tidak Puas,Puas,Sangat Puas,Tidak Puas
Teknik Sipil,3,Perempuan,Puas,Tidak Puas,Sangat Tidak Puas,Puas,Puas
Administrasi Publik,8,Perempuan,Sangat Puas,Sangat Puas,Puas,Puas,Cukup Puas
Farmasi,8,Perempuan,Puas,Tidak Puas,Tidak Puas,Sangat Puas,Puas
Psikologi,3,Laki-laki,Cukup Puas,Puas,Tidak Puas,Tidak Puas,Cukup Puas
Teknik Sipil,2,Perempuan,Sangat Puas,Cukup Puas,Puas,Cukup Puas,Cukup Puas
Administrasi Bisnis,5,Perempuan,Sangat Tidak Puas,Sangat Puas,Sangat Tidak Puas,Sangat Puas,Sangat Puas
Psikologi,5,Laki-laki,Cukup Puas,Cukup Puas,Sangat Puas,Cukup Puas,Cukup Puas
Hukum,6,Perempuan,Sangat Tidak Puas,Puas,Sangat Puas,Sangat Tidak Puas,Sangat Puas
Administrasi Publik,7,Perempuan,Sangat Puas,Sangat Puas,Cukup Puas,Tidak Puas,Tidak Puas
Kebidanan,4,Laki-laki,Cukup Puas,Sangat Tidak Puas,Sangat Puas,Sangat Puas,Puas
